name,smiles,name_id,count
"2',3'-Cyclic AMP",Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2OP(=O)(O)O[C@H]21,23camp_e,22
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,O=C(O)c1ccccc1NCC(=O)[C@H](O)[C@H](O)COP(=O)(O)O,2cpr5p_c,23
2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,O=C(O)C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,2dda7p_c,18
(S)-3-Hydroxytetradecanoyl-CoA,CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],3htdcoa_c,64
"2',3'-Cyclic CMP",Nc1ccn([C@@H]2O[C@H](CO)[C@H]3OP(=O)(O)O[C@H]32)c(=O)n1,23ccmp_e,20
C'-(3-Indolyl)-glycerol 3-phosphate,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12,3ig3p_c,19
2-Dehydro-3-deoxy-D-gluconate 6-phosphate,O=C([O-])C(=O)C[C@H](O)[C@H](O)COP(=O)([O-])[O-],2ddg6p_c,16
3-Methyl-2-oxobutanoate,CC(C)=C(O)C(=O)O,3mob_c,8
(S)-3-Methyl-2-oxopentanoate,CC[C@H](C)C(=O)C(=O)O,3mop_c,9
"2',3'-Cyclic GMP",Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@H]3OP(=O)(O)O[C@H]32)c(=O)[nH]1,23cgmp_e,23
2-Dehydro-3-deoxy-D-gluconate,O=C(O)C(=O)C[C@H](O)[C@H](O)CO,2ddglcn_c,12
"2',3'-Cyclic UMP",O=c1ccn([C@@H]2O[C@H](CO)[C@H]3OP(=O)(O)O[C@H]32)c(=O)[nH]1,23cump_e,20
"2,3-diaminopropionate",NC[C@H](N)C(=O)O,23dappa_c,7
3-Oxodecanoyl-CoA,CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],3odcoa_c,60
3-Oxododecanoyl-CoA,CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],3oddcoa_c,62
2-Dehydro-3-deoxy-D-galactonate 6-phosphate,O=C(O)C(=O)C[C@@H](O)[C@H](O)COP(=O)(O)O,2dh3dgal6p_c,16
2-Dehydro-3-deoxy-D-galactonate,O=C([O-])C(=O)C[C@@H](O)[C@H](O)CO,2dh3dgal_c,12
"2,3-Dihydro-2,3-dihydroxybenzoate",O=C([O-])C1=CC=CC(O)C1O,23ddhb_c,11
